id,seat_id,reservation_id,status
0d2e08aa-c22c-4043-b9ac-379727456537,4f432690-97f5-48a1-9fe8-0010fce28ecc,49515e88-748d-44a4-8cfd-135164608560,1
ebaf218e-a5ec-494d-a5e9-81c705a6e384,ea6c146e-1934-428a-9a07-6b1855c67adb,49515e88-748d-44a4-8cfd-135164608560,1
24312478-10a5-4822-a7f9-a4bf7fc3174d,6c66d359-d4b8-49f9-a502-931a5ec76c7b,5d08c795-79d6-4c67-bdde-fa2a9efd3006,2
d1051851-88de-4c73-8edb-75ac91ce9f7e,04e6513e-bea9-467d-8512-114434b943f4,5d08c795-79d6-4c67-bdde-fa2a9efd3006,2
5ddd75bc-46d0-4ac7-8824-15d48186c59e,9b296f8b-0c35-4870-8751-55bf782e5966,6b5acfdf-4b27-4ed5-b0b5-aa005af2f83f,1
d8b9f9dc-b10c-498b-a3d2-4dad092d3492,2af93d55-37ca-47d5-88a3-8642b89e04c3,6b5acfdf-4b27-4ed5-b0b5-aa005af2f83f,1
7d372c04-29cb-4dbc-a5d9-29144a226789,7ada0856-30e2-4aea-af23-d2d5d966cb7d,f267e896-2a9d-405b-b731-4c2bafad8672,1
a725a036-d7d2-4271-b3aa-31639b0e2813,0948f6fc-7f42-4e9f-bed6-57c67008d2bb,f267e896-2a9d-405b-b731-4c2bafad8672,1
570a056d-8d0b-45b3-ad99-32a37c6da603,a90c4dc8-d2e8-49ca-b802-54de96080ff7,13862ccf-7e4f-43d6-bebc-b0e783a420a6,2
e87a4e0a-7f22-4231-befe-842898cebca5,dd1930a7-fc95-4711-b52d-8619664bde96,13862ccf-7e4f-43d6-bebc-b0e783a420a6,2
bc8570a0-eaae-414c-a422-58b9e114ef9e,08577b7e-f019-4a84-a6ed-50184dc0577b,a911c344-9d4e-4f86-a87f-cf77d1a57aba,2
94a56a36-f6ef-46ae-93bb-f47806eb1ab7,e3f0359f-175a-44f9-abdd-e1668c4743e8,a911c344-9d4e-4f86-a87f-cf77d1a57aba,2
