id,user_id,company_id,rating
65a663ea-d780-43ca-8e21-d8f6d693266d,1d4ff5ca-568e-4eb4-8723-026b75e653e8,82c28cf3-8637-4b3b-b24f-40f22755341d,2
80668c98-0d3c-41dc-a541-93930cc3e937,7fc68424-f6f0-462d-976a-b18d15fd6bef,82c28cf3-8637-4b3b-b24f-40f22755341d,3
0b323db9-e811-447d-a3b0-41af18363c6c,06d3dc52-4d2b-4dea-b76c-08749069b171,82c28cf3-8637-4b3b-b24f-40f22755341d,3
19c6a5cd-d6fe-4ab1-be71-28eac72abe6a,e10da874-f843-449f-9f30-52e83b520bca,82c28cf3-8637-4b3b-b24f-40f22755341d,3
e13481b9-c2e3-4401-93a7-d42d61cc7d6f,262a3cd5-28f3-44c2-9fc7-746b40d4e315,82c28cf3-8637-4b3b-b24f-40f22755341d,2
64ff600e-bf3b-4885-8d84-a439d4ba50cc,6d11a8a0-8ec9-451c-984a-200e28b96d36,82c28cf3-8637-4b3b-b24f-40f22755341d,2
b0dd7504-cf06-4dc2-b68c-167213f55d7d,52fe8816-28da-4570-a21c-fa46691cccf9,82c28cf3-8637-4b3b-b24f-40f22755341d,3
83aa9953-da1c-4087-9d02-dee0afb76e98,fe788141-cd87-4749-a932-5e81910c2e9a,82c28cf3-8637-4b3b-b24f-40f22755341d,5
5ee70bd1-965d-4632-9d88-15bbc7c1781d,eaf7ac71-33ad-498a-9e15-231f238c7632,82c28cf3-8637-4b3b-b24f-40f22755341d,3
2dfc79fe-c4ce-4812-8f08-92324017f3e0,08685cc2-6292-4505-8228-662e055d7b5e,82c28cf3-8637-4b3b-b24f-40f22755341d,1
9b25358b-5cf2-47d8-8e32-149ae52a7f50,d07f70a8-c65e-4673-b475-4072e707bcab,82c28cf3-8637-4b3b-b24f-40f22755341d,3
f0175af0-3d1e-47b8-9114-7bfa76337576,33996032-ae69-4a6b-a2b9-68667d42f333,82c28cf3-8637-4b3b-b24f-40f22755341d,5
890ccca6-2b19-4dbd-9263-35a18f4b635e,44622203-e64c-46a3-bd7d-27ac46eb2221,82c28cf3-8637-4b3b-b24f-40f22755341d,5
a168a755-5116-4a54-907d-6736c2573244,21e735cd-9235-421e-949e-a0c3cc0ae215,82c28cf3-8637-4b3b-b24f-40f22755341d,3
e7b5cd66-eb41-4feb-b767-a73373319077,77aaa744-5aaf-4c97-a6c4-353458d575d2,82c28cf3-8637-4b3b-b24f-40f22755341d,4
743d18fd-3687-4090-86dc-5b1c30d0b47e,d74b5486-a5d4-424c-8d4d-6bceca114c0e,82c28cf3-8637-4b3b-b24f-40f22755341d,4
d3a34fa5-11a7-4f7b-8fbc-2461f9d6ce66,27f5d927-0870-4d30-b05d-1b3ef3abe54a,82c28cf3-8637-4b3b-b24f-40f22755341d,1
824a54e5-b265-4efd-bfe3-ac747cdfc608,c00a2fb7-3bbc-4ea5-af6b-cea92197acd7,82c28cf3-8637-4b3b-b24f-40f22755341d,5
dc40dded-1c7b-4298-8ba4-2390c19cac26,06e378ba-d8d9-4775-b6b9-36b21f993d34,82c28cf3-8637-4b3b-b24f-40f22755341d,5
25b31ed5-d92e-4169-9515-4fdf01df7a22,0ba68089-a781-4cdb-845d-4eddfa5df02c,82c28cf3-8637-4b3b-b24f-40f22755341d,2
167693c2-7064-4044-bf13-b8970a982549,11ed9793-9aa9-460f-a370-ee277e6a40c8,82c28cf3-8637-4b3b-b24f-40f22755341d,3
6680f68c-c621-4a04-80aa-5038478bea03,88fb26ea-693c-4008-a635-e1ac3d139195,82c28cf3-8637-4b3b-b24f-40f22755341d,1
569f5201-e33b-4f24-90d5-4b5ae297c9e8,95dcce2f-b768-4b66-a5a1-1341780a5bd4,82c28cf3-8637-4b3b-b24f-40f22755341d,4
3d285f6c-19ea-404a-832a-1152ab6caee6,bb806c83-4540-4b74-8b8a-925c777ec17b,82c28cf3-8637-4b3b-b24f-40f22755341d,3
8dc2d1d2-e78b-4991-8d23-f4895603c59e,e16eb881-bd2e-49bc-9446-fecb9675525e,82c28cf3-8637-4b3b-b24f-40f22755341d,4
